price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,city,district,direction_Bắc,direction_Nam,direction_None,direction_Tây,direction_Tây Bắc,direction_Tây Nam,direction_Đông,direction_Đông Bắc,direction_Đông Nam
6.1,3.970291913552122,1.0986122886681098,1.3862943611198906,1,1,1,1,0,1.9459101490553132,1.6094379124341003,0,0,0,0,1,0,0,0,0,0,0
9.6,3.7612001156935624,1.6094379124341003,1.6094379124341003,0,0,0,0,0,1.6094379124341003,1.9459101490553132,1,1,0,0,1,0,0,0,0,0,0
4.9,3.713572066704308,1.6094379124341003,1.3862943611198906,0,0,0,0,0,1.6094379124341003,1.667706820558076,0,1,0,0,1,0,0,0,0,0,0
13.0,4.574710978503383,1.0986122886681098,1.791759469228055,1,1,1,1,0,2.1972245773362196,1.6951123503345924,0,1,0,0,1,0,0,0,0,0,0
2.38,3.713572066704308,1.6094379124341003,1.0986122886681098,1,1,1,1,0,2.3978952727983707,1.6951123503345924,1,1,0,0,1,0,0,0,0,0,0
7.8,3.713572066704308,2.0794415416798357,1.3862943611198906,0,0,0,1,0,1.791759469228055,1.6951123503345924,1,0,0,0,1,0,0,0,0,0,0
3.7,4.007333185232471,1.0986122886681098,1.3862943611198906,1,1,1,1,0,1.6094379124341003,1.599387576580599,0,1,0,0,1,0,0,0,0,0,0
2.8,3.4339872044851463,1.6094379124341003,1.3862943611198906,1,1,1,0,0,1.0986122886681098,1.6951123503345924,1,1,0,0,1,0,0,0,0,0,0
2.66,3.4011973816621555,1.0986122886681098,1.3862943611198906,0,0,0,0,0,1.0986122886681098,1.6951123503345924,1,1,0,0,1,0,0,0,0,0,0
1.3,4.672828834461906,0.6931471805599453,1.3862943611198906,1,1,1,1,1,2.3978952727983707,1.7047480922384253,0,0,0,0,0,1,0,0,0,0,0
2.7,3.6635616461296463,1.6094379124341003,1.6094379124341003,0,0,0,0,0,1.6094379124341003,1.6951123503345924,1,1,0,0,1,0,0,0,0,0,0
8.5,3.9318256327243257,1.791759469228055,1.791759469228055,1,1,1,0,0,1.9459101490553132,1.791759469228055,1,1,0,0,1,0,0,0,0,0,0
5.3,4.634728988229636,1.0986122886681098,1.3862943611198906,0,0,0,0,0,1.9459101490553132,1.791759469228055,0,0,0,0,1,0,0,0,0,0,0
2.6,3.6375861597263857,1.6094379124341003,1.6094379124341003,1,1,0,0,0,1.252762968495368,1.6951123503345924,1,0,0,0,0,0,0,0,0,0,1
6.2,4.127134385045092,1.0986122886681098,1.0986122886681098,0,0,0,0,0,1.3862943611198906,1.547562508716013,0,1,0,0,1,0,0,0,0,0,0
6.2,4.442651256490317,1.6094379124341003,1.3862943611198906,1,1,1,1,0,1.3862943611198906,2.0014800002101243,1,1,0,0,1,0,0,0,0,0,0
6.0,4.204692619390966,1.6094379124341003,1.6094379124341003,1,1,1,0,0,1.252762968495368,1.9459101490553132,1,1,0,0,1,0,0,0,0,0,0
3.49,3.8501476017100584,0.6931471805599453,1.3862943611198906,1,1,0,0,0,1.791759469228055,1.6094379124341003,0,1,0,0,1,0,0,0,0,0,0
5.1,3.871201010907891,1.791759469228055,1.6094379124341003,0,0,0,0,0,1.252762968495368,1.6951123503345924,1,1,0,0,1,0,0,0,0,0,0
6.9,4.394449154672439,1.791759469228055,1.6094379124341003,0,0,0,0,0,1.791759469228055,1.8718021769015913,1,0,0,0,1,0,0,0,0,0,0
10.6,4.7535901911063645,1.3862943611198906,1.6094379124341003,1,1,1,1,1,2.772588722239781,1.7227665977411035,1,0,0,0,1,0,0,0,0,0,0
7.5,3.8918202981106265,1.3862943611198906,1.6094379124341003,0,0,0,0,0,2.5649493574615367,1.6951123503345924,1,0,0,0,1,0,0,0,0,0,0
7.5,3.713572066704308,1.3862943611198906,1.3862943611198906,1,1,1,1,0,2.0794415416798357,1.547562508716013,1,0,0,0,1,0,0,0,0,0,0
15.0,4.23410650459726,1.791759469228055,1.6094379124341003,0,0,0,0,1,2.3978952727983707,1.6951123503345924,1,1,0,0,1,0,0,0,0,0,0
3.2,3.4339872044851463,1.791759469228055,1.3862943611198906,1,1,1,0,0,1.252762968495368,1.4350845252893227,1,1,0,0,1,0,0,0,0,0,0
3.3,3.5263605246161616,1.791759469228055,1.3862943611198906,1,1,0,1,0,1.0986122886681098,1.6951123503345924,1,1,0,0,1,0,0,0,0,0,0
7.45,4.02535169073515,1.9459101490553132,1.791759469228055,1,1,1,1,0,2.1972245773362196,1.791759469228055,1,1,0,0,1,0,0,0,0,0,0
3.25,3.6109179126442243,1.6094379124341003,1.3862943611198906,1,1,1,1,0,1.3862943611198906,1.589235205116581,1,1,0,0,1,0,0,0,0,0,0
7.2,4.394449154672439,1.0986122886681098,1.6094379124341003,0,0,0,0,0,2.3978952727983707,1.6094379124341003,0,1,0,0,1,0,0,0,0,0,0
2.9,3.9889840465642745,1.3862943611198906,1.3862943611198906,1,1,1,0,0,1.3862943611198906,1.6094379124341003,1,1,0,0,1,0,0,0,0,0,0
